Assignment Title	Hyperlink Title     Zoom Link
CSCI-10B-Video-Links-S26	Lab 10B Recap: handout on collision handling options	https://mpc-edu.zoom.us/rec/share/QpnJK3YRZZrtplqbn6E1OgzgpnLRVKZro0yBiXnpXkmsvvnIgVh_LHVCoykEcKMU.bn0OCAU-rGV2UImh?startTime=1777930798000
CSCI-10B-Video-Links-S26	Lab 11A - Trees, Binary Search Trees	https://mpc-edu.zoom.us/rec/share/QpnJK3YRZZrtplqbn6E1OgzgpnLRVKZro0yBiXnpXkmsvvnIgVh_LHVCoykEcKMU.bn0OCAU-rGV2UImh?startTime=1777932740000
CSCI-10B-Video-Links-S26	Lab 11B - Expression Trees	https://mpc-edu.zoom.us/rec/share/sZ8Cf9qDnxDmU4G-F9grC_A1gnNoFNFw4cNLYzNxd3NmHjA7gzYapk4_QcAjI_Nu.PVn6Pwyu9wy1jDET?startTime=1778103356000
CSCI-10B-Video-Links-S26	Lab 12AB - Heaps and Priority Queues	https://mpc-edu.zoom.us/rec/share/GESEU-vSsx6rfDSiXen2NmPzVE1HGhr7wjl0EwH2KFsNJ8kMmfWeE4_XYIMVrK5T.HxBLbWFUgWyMtXiW?startTime=1778535771000
CSCI-10B-Video-Links-S26	Final Exam Overview  (15 min)	https://mpc-edu.zoom.us/rec/share/Sp4cVETqBVdCGRax1tRig7VJoQ4mxesVdMg3w-cJdPbC8JD1Z1tweU4pXkDPORHg.xtn4pYxqbNpFI5YY?startTime=1778708554000
CSCI-10B-Video-Links-S26	Practice Final Exam Solutions (30 min)	https://mpc-edu.zoom.us/rec/share/Sp4cVETqBVdCGRax1tRig7VJoQ4mxesVdMg3w-cJdPbC8JD1Z1tweU4pXkDPORHg.xtn4pYxqbNpFI5YY?startTime=1778716155000
CSCI-10B-Video-Links-S26	Final Project Turn-in & Evaluation Tips (5 min)	https://mpc-edu.zoom.us/rec/play/5nt_Wt7noF8lpSbHGzMmY6LWCSB1VbxxRoFHX10wuXpk5XrqW3jbc_C7a05o5p8sSfakDWMvxaBkX3lE.i6W8V7IClb5-FBgy?autoplay=true&startTime=1778715806000
CSCI-10C-Video-Links-F25	Intro, Syllabus, Compilers, getting started in zyBooks	https://mpc-edu.zoom.us/rec/play/6-8_BTMrsWWWYpkwp25QlWA84FWoJVAiK5okHpPkkzAZj83rhWrxJUI6pqr3LBm0UtsV5OcfortTyufO.1iuP6HFye_N7zKqd?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=share_recording_detail&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2FtXT9aJP9YiovE3joL2kbTWYsdL1ITU4_rnHwhEQVbXT7PFq7Kz534wT4GtXMETCz.48krD_45K9rCVOtq
CSCI-10C-Video-Links-F25	C++ Selection -- if, if-else, nesting/chaining, switch, stri	https://mpc-edu.zoom.us/rec/play/lmv4vK32g-gJFLbNMTlqeLpVVUbrc59xv_ZUeXFn7BkUEECCxlV_jGaif-irRAEXut0bgjHITtfXt8v9.0szomSCOEFiU1Ym5?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=my_recording&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2Fhs4jLgApz887wSJaWI5_GKX4g0TJwKge4LX9Kjm_KFiswQ-1DqAaJAGU40B1qkKa.2p7PGZSU_TdoIMAb
CSCI-10C-Video-Links-F25	Lab 2B Part 1 - Finite State Machines with Serial Input and	https://mpc-edu.zoom.us/rec/share/_zNdRR8eKuMYDOc7n2oXycQ8gi2l48laEtXiRJYpkW8-IP6_5ianjrE888G2Gxuu.smgCPfQiO3orEDbM?startTime=1756332645000
CSCI-10C-Video-Links-F25	Lab 2B Part 2 - adding switches to FSM	https://mpc-edu.zoom.us/rec/share/yak63gqo5apL3me7RDE9N2V_FWjFYBz6O86Yu05j9J2Y5O-4khVKnYmIt4u2EedM.iUVW8hMSZub1fRhr
CSCI-10C-Video-Links-F25	Lab 3A - Iteration	https://mpc-edu.zoom.us/rec/play/XMgS6AJRjZlzrV2aQwyd0GJyHUaEb_Siod9_4a3-b0KuV-TkCHKS4iOjUeAT1w1fsORdGPi4b7rwIAhl.4ftlQBXSJv4351hN?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=my_recording&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2F75pPEoRk1_96Zyzm74nrtSU6mgdIClOflurpSIgjnGxyaGfUxTjnlGmq34DdSypH.qA3MXb7Ej1Ct1dUG
CSCI-10C-Video-Links-F25	Lab 3B - Resistor-based Sensor Circuits	https://mpc-edu.zoom.us/rec/play/nPZoR4cOm1IATpiHGQDLqPQrK8tJ3xHVuiUUudHExk7iQMSFDDZNrbMFFmSEaT3DD2UESz-pruGrN9I.Neso32p9AMl2nkZP?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=my_recording&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2FOYR9QAT_oNQlv5TcDY2WRmcIrMaB9pJRl81eQsSTr0GjApReYYGRE0Xr36XFh7c3.sYcJDyoPbGD9VGqR
CSCI-10C-Video-Links-F25	Lab 4A - Functions I	https://mpc-edu.zoom.us/rec/share/3otY2Fg_jQqmvPCsqbiqeb2K3J-9RFrm0L74SRVuZtJtNalYa19eNwtr808ycof_.AfAKr0WzLaEnDPeZ?startTime=1757974731000
CSCI-10C-Video-Links-F25	Homework 1 Overview	https://mpc-edu.zoom.us/rec/share/3otY2Fg_jQqmvPCsqbiqeb2K3J-9RFrm0L74SRVuZtJtNalYa19eNwtr808ycof_.AfAKr0WzLaEnDPeZ?startTime=1757974067000
CSCI-10C-Video-Links-F25	Lab 4B - Electronic Mood Ring	https://mpc-edu.zoom.us/rec/share/gjF_XxTVshKEKYf4TdNeCjdjuQ7FMNClXOoAol9oUEPearmUCLg2xSQo373zJU0.fjZ-0lHtmIwpnMTX?startTime=1758149586000
CSCI-10C-Video-Links-F25	Lab 5A - Arrays and Vectors in C++	https://mpc-edu.zoom.us/rec/share/dnaQbz8vCC83WP1UVRWYFlNFsgbCYQ61gDxX3FoAwgakCfpI2THeHc6MiJVzQns-.ppRCzZj6XanDXezu
CSCI-10C-Video-Links-F25	Lab 5B - Music Machine	https://mpc-edu.zoom.us/rec/play/KEphO__3xJs4LshAn3Ow4OnsKKHxWD2PTnF7emwSz4Rb9DuaUN5FbtddnM8QGSQB30phrbMweSEOLILt.aKZFDRODUttvwhhV?eagerLoadZvaPages=sidemenu.billing.plan_management&accessLevel=meeting&canPlayFromShare=true&from=share_recording_detail&continueMode=true&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2Fhm_-SyHeJg8SVBn36ezhw_Qymp1-m1z1YSCf565DLO79pZM7L75YFmvqpFTUGvzI.igsPWLJZgiDHRPvs
